Name                Data Structure      Difficulty          Score               

TestTest            Array               Easy                3                   
Test                Array               Easy                3                   
EasyQ               Strings             Easy                5                   
Test                Strings             Hard                3                   
DanaStinks          Dana                Hard                3                   
EthanRocks          Cool                Easy                5                                     
Test                Array               Easy                5                   
Test3               Tree                Easy                5                   
Test4               Array               Easy                5                   
